BUSINESS_NAME,PHONE,EMAIL,CITY,ADDRESS,REVIEWS,WEBSITE
New York Maids,+1 212-239-9141,Not found,New York,"315 Madison Ave, New York, NY 10017,",,https://nymaids.com/
Sparkly Maid NYC Cleaning Services,+1 646-585-3515,user@domain.com,New York,"447 Broadway 2nd floor #523, New York, NY 10013,",,https://www.sparklymaidnyc.com/
eMaids Cleaning Service of NYC,+1 646-453-4332,contact@emaidsinc.com,New York,"244 5th Ave # K262, New York, NY 10001,",,https://emaidsinc.com/new-york-city/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp
Superb Maids NYC,+1 646-417-8343,support@superbmaidsnyc.com,New York,"276 5th Ave 704 2471, New York, NY 10001,",,https://www.superbmaidsnyc.com/
Maid First House Cleaning Service,+1 212-920-7872,support@maidfirst.com,,,,http://www.maidfirst.com/
Maid Sailors Cleaning Service,+1 212-299-5170,support@maidsailors.com,,,,https://maidsailors.com/
Maid Service NYC,+1 212-837-8596,info@maidservicenyc.com,,,,http://maidservicenyc.com/
Maid Marines,+1 212-390-1629,Not found,New York,"121 W 27th St Suite 1003c, New York, NY 10001,",,https://maidmarines.com/
MaidPro,+1 347-970-2779,Error,New York,"59 E 7th St Office East, New York, NY 10003,",,https://www.maidpro.com/manhattan/?utm_source=gmb&utm_medium=organic
Help Maid Cleaning Services,+1 212-203-0084,help@helpmaidcleaningservices.com,,,,http://www.helpmaidcleaningservices.com/
Maid Service Manhattan,+1 929-345-3587,Not found,New York,"545 W 45th St #15, New York, NY 10036,",,https://maidservicemanhattan.nyc/
